MSOA11CD,MSOA11NM,Local authority,total_population_mid_2018,over_70_prop
E02000001,City of London 001,City of London,8706,0.123592924
E02000002,Barking and Dagenham 001,Barking and Dagenham,7720,0.10388601
E02000003,Barking and Dagenham 002,Barking and Dagenham,11051,0.085965071
E02000004,Barking and Dagenham 003,Barking and Dagenham,6586,0.124658366
E02000005,Barking and Dagenham 004,Barking and Dagenham,10229,0.066282139
E02000007,Barking and Dagenham 006,Barking and Dagenham,10123,0.0807073
E02000008,Barking and Dagenham 007,Barking and Dagenham,12635,0.072497032
E02000009,Barking and Dagenham 008,Barking and Dagenham,11592,0.047532781
E02000010,Barking and Dagenham 009,Barking and Dagenham,9197,0.064586278
E02000011,Barking and Dagenham 010,Barking and Dagenham,6983,0.092080768
E02000012,Barking and Dagenham 011,Barking and Dagenham,11290,0.076173605
E02000013,Barking and Dagenham 012,Barking and Dagenham,8899,0.063265535
E02000014,Barking and Dagenham 013,Barking and Dagenham,10016,0.073981629
E02000015,Barking and Dagenham 014,Barking and Dagenham,8069,0.064939893
E02000016,Barking and Dagenham 015,Barking and Dagenham,9944,0.021520515
E02000017,Barking and Dagenham 016,Barking and Dagenham,9331,0.059050477
E02000018,Barking and Dagenham 017,Barking and Dagenham,9789,0.056491981
E02000019,Barking and Dagenham 018,Barking and Dagenham,9148,0.060668999
E02000020,Barking and Dagenham 019,Barking and Dagenham,13015,0.054936612
E02000021,Barking and Dagenham 020,Barking and Dagenham,8970,0.068896321
E02000022,Barking and Dagenham 021,Barking and Dagenham,8354,0.029087862
E02000023,Barking and Dagenham 022,Barking and Dagenham,7985,0.032936756
E02000024,Barnet 001,Barnet,10988,0.147524572
E02000025,Barnet 002,Barnet,8451,0.1199858
E02000026,Barnet 003,Barnet,6629,0.137124755
E02000027,Barnet 004,Barnet,9753,0.111452886
E02000028,Barnet 005,Barnet,6693,0.117734947
E02000029,Barnet 006,Barnet,9382,0.09166489
E02000030,Barnet 007,Barnet,9288,0.168281654
E02000031,Barnet 008,Barnet,7728,0.156573499
E02000032,Barnet 009,Barnet,7883,0.134466574
E02000033,Barnet 010,Barnet,8919,0.107747505
E02000034,Barnet 011,Barnet,9276,0.119987063
E02000035,Barnet 012,Barnet,9003,0.125402644
E02000036,Barnet 013,Barnet,11577,0.103826553
E02000037,Barnet 014,Barnet,10378,0.117074581
E02000038,Barnet 015,Barnet,11532,0.09356573
E02000039,Barnet 016,Barnet,7268,0.115850303
E02000040,Barnet 017,Barnet,8200,0.109268293
E02000041,Barnet 018,Barnet,9971,0.106709457
E02000042,Barnet 019,Barnet,12149,0.10181908
E02000043,Barnet 020,Barnet,8195,0.111897498
E02000044,Barnet 021,Barnet,8874,0.070655849
E02000045,Barnet 022,Barnet,10908,0.075907591
E02000046,Barnet 023,Barnet,7582,0.090873121
E02000047,Barnet 024,Barnet,12398,0.074205517
E02000048,Barnet 025,Barnet,10645,0.120338187
E02000049,Barnet 026,Barnet,9292,0.052195437
E02000050,Barnet 027,Barnet,10905,0.095827602
E02000051,Barnet 028,Barnet,9686,0.141647739
E02000052,Barnet 029,Barnet,10586,0.089835632
E02000053,Barnet 030,Barnet,15643,0.046474461
E02000054,Barnet 031,Barnet,7616,0.081144958
E02000055,Barnet 032,Barnet,11861,0.093246775
E02000056,Barnet 033,Barnet,9357,0.141177728
E02000057,Barnet 034,Barnet,8147,0.082116116
E02000058,Barnet 035,Barnet,10949,0.128230889
E02000059,Barnet 036,Barnet,11658,0.078229542
E02000060,Barnet 037,Barnet,12358,0.096536656
E02000061,Barnet 038,Barnet,8980,0.104454343
E02000062,Barnet 039,Barnet,6826,0.061968942
E02000063,Barnet 040,Barnet,7755,0.083558994
E02000064,Barnet 041,Barnet,6851,0.084075317
E02000065,Bexley 001,Bexley,8992,0.049710854
E02000066,Bexley 002,Bexley,10069,0.076075082
E02000067,Bexley 003,Bexley,10267,0.074607967
E02000068,Bexley 004,Bexley,8162,0.066650331
E02000069,Bexley 005,Bexley,6756,0.124777975
E02000070,Bexley 006,Bexley,8064,0.142237103
E02000071,Bexley 007,Bexley,7658,0.100026116
E02000072,Bexley 008,Bexley,12851,0.059139367
E02000073,Bexley 009,Bexley,10922,0.140358909
E02000074,Bexley 010,Bexley,8527,0.102263399
E02000075,Bexley 011,Bexley,8261,0.17140782
E02000077,Bexley 013,Bexley,8241,0.120131052
E02000078,Bexley 014,Bexley,7913,0.141412865
